id,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_9,barriers_13,productivity_1
578,0,0,0,0,0,0,0,50
579,1,2,2,2,-1,0,2,-10
580,0,0,1,1,0,1,1,0
581,1,1,2,2,2,1,1,40
582,1,0,1,1,0,0,1,20
583,0,0,0,0,0,0,0,0
584,0,-2,-2,-1,-1,0,0,-30
585,1,2,1,2,2,2,2,50
586,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,10
588,0,0,0,1,0,1,1,0
589,-1,0,-1,0,-1,0,1,0
590,0,0,0,0,1,0,1,10
591,1,1,2,1,0,1,2,30
592,0,0,0,0,0,0,0,30
593,-1,1,2,0,0,0,0,-20
594,1,-1,-1,0,0,0,1,20
595,0,0,-1,-2,-1,0,-1,40
596,2,2,2,2,2,1,0,50
597,0,0,1,1,1,0,0,50
598,1,1,2,0,1,0,0,50
599,0,0,-1,-1,0,1,0,20
600,0,0,0,0,0,0,-1,10
601,0,0,-2,0,0,0,0,0
602,1,0,0,0,0,1,0,0
603,1,0,-1,0,1,1,1,-10
604,1,1,0,1,2,0,1,40
605,1,1,1,1,1,1,1,50
606,0,0,0,0,0,0,0,-50
607,0,0,0,0,0,0,0,0
608,-1,-2,-2,-2,-2,0,0,0
609,2,2,2,0,2,0,0,30
610,0,0,-2,0,-1,0,0,20
611,0,1,1,-2,1,0,0,30
612,0,0,1,0,0,0,-1,50
613,0,0,1,1,0,1,1,30
614,1,2,2,0,1,2,1,20
615,0,0,2,2,1,2,0,40
616,0,0,0,0,0,-2,-2,-10
617,0,0,0,0,0,0,0,0
618,2,0,1,1,0,0,2,20
619,1,1,2,1,0,0,0,-50
620,0,0,0,0,0,-1,0,0
621,0,0,0,0,0,0,1,-10
622,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,50
624,1,1,0,1,1,1,1,30
625,-2,0,1,-1,0,1,1,30
626,1,0,-1,2,1,2,0,20
627,0,1,-2,-2,-2,2,1,40
628,-1,0,0,0,0,-1,0,-30
629,2,2,2,2,2,2,2,10
630,0,0,-1,0,0,0,0,-20
631,2,-1,-2,0,-1,1,-1,20
632,0,0,0,1,0,-1,-2,40
633,-1,0,-1,-1,0,-1,-1,30
634,1,2,1,2,1,2,1,40
635,-1,0,0,0,-1,0,-1,30
636,0,0,0,0,0,0,0,0
637,2,0,1,2,1,2,2,40
638,0,-2,-2,0,-2,0,0,-50
639,1,1,0,0,0,0,0,50
640,0,2,0,0,0,1,0,20
641,1,1,1,-2,1,1,1,20
642,0,0,1,0,0,0,0,20
643,-1,0,1,0,0,0,1,0
644,-2,-2,-2,-1,-1,-1,0,30
645,-1,-1,2,-1,0,1,0,30
646,0,1,1,1,0,0,0,30
647,0,1,0,0,0,0,1,20
648,0,0,0,-2,0,0,0,0
649,0,0,-2,0,-1,-1,-1,40
650,2,2,2,2,1,1,1,10
651,-2,-2,-2,0,-2,-1,-1,30
652,0,-1,-2,1,-1,0,2,-30
653,-2,0,-1,-1,1,-2,-1,30
654,1,1,1,1,1,0,0,50
655,0,0,1,1,1,1,1,40
656,0,0,0,0,0,0,0,30
657,0,0,0,0,0,0,0,50
658,0,0,0,0,0,0,0,0
659,0,1,0,0,0,1,0,20
660,0,-2,-1,0,1,0,0,30
661,1,0,0,-2,0,0,0,30
662,2,1,2,1,2,1,2,40
663,-1,2,1,0,2,-1,0,0
664,0,0,0,0,0,0,0,20
665,0,0,0,0,0,0,0,0
666,0,0,0,0,0,0,0,0
667,1,1,1,1,1,-1,1,40
668,1,1,1,0,0,0,0,30
