barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,barriers_13,barriers_14,barriers_15,barriers_16,id,productivity_1
0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,205,0
1,0,-1,1,0,2,1,1,1,1,0,0,2,1,0,2,206,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,208,50
-1,1,-1,-2,-2,0,0,0,0,-2,-1,1,2,0,0,-1,209,30
-2,-1,0,-2,-1,-1,-1,-2,-2,0,-2,-2,0,0,0,1,210,20
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,211,0
2,1,1,1,1,0,0,0,0,0,0,1,-1,1,-1,1,212,20
0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,213,30
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,214,30
0,-1,0,1,1,1,0,-1,0,0,-1,1,2,0,0,0,215,20
0,0,1,1,-2,1,0,0,1,0,0,1,1,0,0,0,216,20
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,217,0
-1,-1,0,-1,-1,0,0,0,1,-1,1,-1,1,0,0,0,218,20
0,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,1,-1,-1,-2,219,50
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,30
0,1,0,-1,0,0,-1,0,0,0,2,1,0,2,0,0,221,50
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,222,0
-1,1,-2,0,-1,1,2,-1,0,0,-1,1,1,-1,-1,0,223,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0
2,2,1,2,1,2,2,2,2,1,2,2,1,2,0,1,225,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0
0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,227,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,228,50
0,0,0,0,0,0,0,0,1,2,2,2,1,2,1,0,229,20
-1,0,1,1,1,2,1,0,0,1,0,1,-1,-1,2,0,230,30
1,0,0,0,0,0,0,0,0,-2,1,1,0,0,0,2,231,50
0,0,0,0,0,0,-1,-1,0,0,1,-1,0,0,0,0,232,0
0,0,1,1,0,0,-1,-1,0,1,1,0,1,2,1,2,233,-40
0,1,0,0,2,0,0,0,0,0,1,2,-1,0,0,2,234,50
1,0,2,1,2,2,1,2,2,2,1,2,0,1,1,2,235,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,20
0,2,2,0,0,0,0,-1,-2,0,-1,1,-2,-1,0,-1,237,10
0,-1,1,1,0,-1,0,1,0,1,1,2,1,1,0,0,238,0
-1,-2,-2,-1,0,-1,-1,-1,-1,-1,0,-2,-1,-1,0,0,239,10
1,0,1,1,0,1,0,2,0,1,2,2,1,2,1,2,240,30
2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,241,30
-1,-1,0,0,-2,0,-1,0,0,1,2,1,-1,2,0,2,242,50
2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,2,243,30
0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,0,244,50
0,1,2,2,1,-2,2,2,2,-1,2,0,2,1,2,2,245,0
2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,246,30
1,0,-2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,247,-20
1,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,248,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,20
0,0,0,0,0,0,0,0,1,1,1,-1,1,0,-1,1,250,-10
0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,251,0
1,1,0,0,-1,0,-1,1,1,1,0,1,1,1,-2,0,252,0
2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,253,50
0,0,1,0,0,0,-1,0,0,1,1,-2,0,0,0,1,254,0
2,-2,-2,-2,-2,-2,-2,0,-2,0,0,-2,0,0,0,0,255,0
0,0,0,0,-2,0,0,1,0,0,0,1,0,0,0,1,256,20
2,0,1,-1,1,0,0,1,0,0,1,1,0,0,0,2,257,20
-1,0,1,0,0,0,0,-1,0,0,-1,-1,0,-2,0,0,258,40
1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,259,50
2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,260,0
-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,261,-20
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,262,50
0,0,0,0,0,0,0,-2,0,-2,0,0,0,0,0,0,263,-30
2,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,264,-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,10
1,0,1,0,0,1,-2,1,0,1,1,-1,0,0,0,-1,266,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,267,50
2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,268,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0
2,2,2,1,1,2,1,1,2,0,2,1,1,2,1,2,270,30
-1,0,-1,-2,0,-2,0,1,-2,-2,-2,-1,-1,1,-2,0,271,-30
2,1,1,0,0,1,2,1,1,2,1,2,0,1,1,0,272,20
0,2,2,2,1,0,1,1,1,2,2,2,2,2,2,2,273,-30
0,-1,0,0,-1,-1,0,-1,0,1,1,0,-1,-1,-1,0,274,0
1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,275,20
1,1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,276,50
1,1,1,2,0,0,-1,0,0,0,0,0,0,1,0,2,277,40
-1,-1,-2,1,-2,-1,0,0,2,0,-1,-1,0,-2,-1,0,278,30
0,0,-1,0,-2,-1,0,0,0,0,0,0,0,0,0,0,279,0
0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,280,0
0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,281,30
0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,282,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,283,20
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,284,0
0,0,-1,-1,0,-1,1,0,-1,0,-1,-1,0,0,-1,0,285,-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,286,-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,50
-1,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,288,30
0,1,1,1,2,1,0,0,0,0,-1,0,0,-2,0,0,289,30
0,-1,0,0,1,0,-1,0,0,0,0,1,0,0,0,0,290,0
0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,291,-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,-50
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,294,20
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,295,30
0,1,1,2,1,0,0,0,1,0,1,0,0,0,1,1,296,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0
0,0,-1,-1,0,-2,0,-1,2,-1,-2,-1,0,0,0,-1,298,20
0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,299,20
-1,-2,-2,-1,0,0,-1,0,0,-2,-1,-1,-2,0,0,1,300,-40
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,301,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,302,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,304,20
1,-1,1,-1,0,-1,-1,-1,1,1,-1,-1,1,0,1,-1,305,-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,40
0,1,0,1,0,2,-2,-1,1,0,0,-1,-2,-1,0,0,307,20
1,0,0,0,-1,-1,-1,2,0,0,-1,1,0,1,0,1,308,30
0,-1,0,-1,-1,-1,-2,-1,-1,-2,-1,-1,0,0,0,0,309,0
0,-1,-1,-1,-1,0,-1,-1,-1,1,0,-2,-1,-1,-1,0,310,0
0,-1,1,0,0,1,0,0,0,-1,0,0,1,0,0,0,311,-20
-1,0,0,0,1,0,1,0,0,0,2,-1,0,-1,0,1,312,-20
1,-2,0,2,1,-2,0,1,-1,2,2,1,-2,0,1,-2,313,30
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,314,20
0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,1,315,10
-1,-2,-1,0,-1,-2,-2,-1,-2,-1,0,-1,-2,0,-2,1,316,-30
0,0,0,0,-1,-1,-1,0,0,-1,0,-1,0,0,0,0,317,40
1,2,1,0,1,1,2,1,2,1,1,0,2,2,1,1,318,20
-2,0,0,1,1,1,1,0,-1,0,-1,-1,-2,1,0,-2,319,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,30
1,0,0,1,-2,-1,0,0,0,-1,1,0,0,0,0,0,321,10
1,2,1,0,2,1,1,0,0,1,2,0,1,1,1,2,322,20
1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,323,20
1,1,1,0,0,1,0,1,1,1,2,1,1,1,2,1,324,30
2,1,1,2,1,1,2,0,2,1,2,1,2,1,2,1,325,20
1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,326,40
2,1,1,2,2,2,1,1,0,2,1,1,2,0,1,1,327,30
2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,328,10
0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,329,0
1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,330,30
1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,331,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,50
0,0,-2,-1,-2,-1,-2,0,-1,0,0,0,0,-2,0,-2,333,-40
1,2,0,1,1,0,2,1,1,2,1,1,1,1,0,2,334,40
0,0,0,1,1,0,-2,1,1,-1,1,1,0,1,0,0,335,30
2,2,1,1,-1,1,1,1,1,1,2,2,2,1,2,2,336,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,-10
0,-1,-2,-1,0,1,2,2,2,-1,0,0,-1,1,1,0,338,30
1,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,0,0,339,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,50
0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,341,10
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,10
-2,1,2,1,1,2,-1,-2,0,-2,2,1,1,-1,2,1,345,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,30
0,1,1,-1,0,1,-1,1,0,0,1,0,1,0,1,1,347,30
-1,0,1,1,0,-2,0,-1,1,-1,0,0,1,1,-1,-1,348,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,349,30
2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,350,50
1,2,1,0,0,1,1,1,2,2,1,2,2,1,2,2,351,10
0,-2,-1,-1,0,0,0,0,0,1,0,0,0,0,1,0,352,-10
